prac,Face,Mem1,Mem2,Mem3,Test1,Test2,Test3,facenum,novel,nov_num,noise,nois_num,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Part1_Learn.thisRepN,Part1_Learn.thisTrialN,Part1_Learn.thisN,Part1_Learn.thisIndex,novel_test.thisRepN,novel_test.thisTrialN,novel_test.thisN,novel_test.thisIndex,noise_test.thisRepN,noise_test.thisTrialN,noise_test.thisN,noise_test.thisIndex,Response.keys,Response.rt,Answer.keys,Answer.rt,Answer_2.keys,Answer_2.rt,Answer_3.keys,Answer_3.rt,Answer_4.keys,Answer_4.rt,image.started,image.stopped,Answer_5.keys,Answer_5.rt,key_resp_6.keys,key_resp_6.rt,participant,date,expName,psychopyVersion,frameRate,
CFMT/Practice/A.jpeg,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,3,2.08020020800177,,,,,,,,,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
CFMT/Practice/B.jpeg,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,2,0.9212278749910183,,,,,,,,,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
CFMT/Practice/C.jpeg,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,2,0.48736045899568126,,,,,,,,,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,Face 1,CFMT/Learn/mem_1.jpeg,CFMT/Learn/mem_2.jpeg,CFMT/Learn/mem_3.jpeg,CFMT/Learn/test_1.jpeg,CFMT/Learn/test_2.jpeg,CFMT/Learn/test_3.jpeg,1,,,,,,,,,0,0,0,0,,,,,,,,,,,3,2.6473644159850664,3,0.1841827499883948,3,0.20945941700483672,,,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,Face 2,CFMT/Learn/mem_4.jpeg,CFMT/Learn/mem_5.jpeg,CFMT/Learn/mem_6.jpeg,CFMT/Learn/test_4.jpeg,CFMT/Learn/test_5.jpeg,CFMT/Learn/test_6.jpeg,2,,,,,,,,,0,1,1,1,,,,,,,,,,,1,0.6070782919996418,2,0.23154924999107607,3,0.29822741699172184,,,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,Face 3,CFMT/Learn/mem_7.jpeg,CFMT/Learn/mem_8.jpeg,CFMT/Learn/mem_9.jpeg,CFMT/Learn/test_7.jpeg,CFMT/Learn/test_8.jpeg,CFMT/Learn/test_9.jpeg,3,,,,,,,,,0,2,2,2,,,,,,,,,,,2,1.1964682919933693,3,0.15173749999667052,1,0.16898083398700692,,,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,Face 4,CFMT/Learn/mem_10.jpeg,CFMT/Learn/mem_11.jpeg,CFMT/Learn/mem_12.jpeg,CFMT/Learn/test_10.jpeg,CFMT/Learn/test_11.jpeg,CFMT/Learn/test_12.jpeg,4,,,,,,,,,0,3,3,3,,,,,,,,,,,1,2.9920131670078263,1,0.11955712498456705,1,0.13879233300394844,,,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,Face 5,CFMT/Learn/mem_13.jpeg,CFMT/Learn/mem_14.jpeg,CFMT/Learn/mem_15.jpeg,CFMT/Learn/test_13.jpeg,CFMT/Learn/test_14.jpeg,CFMT/Learn/test_15.jpeg,5,,,,,,,,,0,4,4,4,,,,,,,,,,,3,4.314588082983391,2,0.19121874999837019,1,0.16544504099874757,,,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,Face 6 ,CFMT/Learn/mem_16.jpeg,CFMT/Learn/mem_17.jpeg,CFMT/Learn/mem_18.jpeg,CFMT/Learn/test_16.jpeg,CFMT/Learn/test_17.jpeg,CFMT/Learn/test_18.jpeg,6,,,,,,,,,0,5,5,5,,,,,,,,,,,2,7.503144874994177,1,0.26833158399676904,2,0.3995760830002837,,,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_1.jpeg,1,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,3.780856582990964,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_2.jpeg,2,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,2,0.20698250000714324,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_3.jpeg,3,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,2,0.09924741600116249,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_4.jpeg,4,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,1,0.1854947079991689,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_5.jpeg,5,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,2,0.1626634589920286,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_6.jpeg,6,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,3,0.17431566699815448,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_7.jpeg,7,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,2,0.14451416599331424,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_8.jpeg,8,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,1,0.16427541599841788,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_9.jpeg,9,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,2,0.17824912499054335,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_10.jpeg,10,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,3,0.17734012499568053,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_11.jpeg,11,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,3,0.1400530419923598,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_12.jpeg,12,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,3,0.173442958999658,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_13.jpeg,13,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,2,0.22289887499937322,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_14.jpeg,14,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,1,0.16469754200079478,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_15.jpeg,15,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,1,0.13501712499419227,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_16.jpeg,16,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,1,0.16920995799591765,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_17.jpeg,17,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,2,0.21375749999424443,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_18.jpeg,18,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,3,0.17998779099434614,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_19.jpeg,19,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,2,0.16763508299482055,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_20.jpeg,20,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,2,0.12523949999012984,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_21.jpeg,21,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,1,0.17081295800744556,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_22.jpeg,22,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,2,0.17587508299038745,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_23.jpeg,23,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,3,0.16187029199500103,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_24.jpeg,24,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,2,0.295369582992862,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_25.jpeg,25,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,2,0.2023679169942625,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_26.jpeg,26,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,1,0.17761450000398327,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_27.jpeg,27,,,,,,,,,,,0,26,26,26,,,,,,,,,,,,,2,0.20237374999851454,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_28.jpeg,28,,,,,,,,,,,0,27,27,27,,,,,,,,,,,,,3,0.17235395799798425,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_29.jpeg,29,,,,,,,,,,,0,28,28,28,,,,,,,,,,,,,3,0.14102499998989515,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_30.jpeg,30,,,,,,,,,,,0,29,29,29,,,,,,,,,,,,,2,0.13788970799942035,,,,,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,,,CFMT/Test/noise_1.jpeg,1,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,156.6409345830034,176.6648784170102,2,1.3401857089920668,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,,,CFMT/Test/noise_2.jpeg,2,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,3,0.2314499159983825,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,,,CFMT/Test/noise_3.jpeg,3,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,1,0.36701445799553767,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,,,CFMT/Test/noise_4.jpeg,4,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,2,0.21698208300222177,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,,,CFMT/Test/noise_5.jpeg,5,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,3,0.17639958299696445,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,,,CFMT/Test/noise_6.jpeg,6,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,2,0.16322170798957814,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,,,CFMT/Test/noise_7.jpeg,7,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,1,0.1789839589910116,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,,,CFMT/Test/noise_8.jpeg,8,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,1,0.17968187500082422,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,,,CFMT/Test/noise_9.jpeg,9,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,2,0.2124644159921445,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,,,CFMT/Test/noise_10.jpeg,10,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,3,0.17876824998529628,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,,,CFMT/Test/noise_11.jpeg,11,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,3,0.19233241700567305,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,,,CFMT/Test/noise_12.jpeg,12,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,2,0.15627083298750222,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,,,CFMT/Test/noise_13.jpeg,13,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,1,0.17258020899316762,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,,,CFMT/Test/noise_14.jpeg,14,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,2,0.184795708002639,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,,,CFMT/Test/noise_15.jpeg,15,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,3,0.16857500000332948,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,,,CFMT/Test/noise_16.jpeg,16,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,3,0.1273495420027757,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,,,CFMT/Test/noise_17.jpeg,17,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,2,0.16923433300689794,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,,,CFMT/Test/noise_18.jpeg,18,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,1,0.17257304101076443,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,,,CFMT/Test/noise_19.jpeg,19,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,2,0.19988833299430553,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,,,CFMT/Test/noise_20.jpeg,20,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,3,0.20263929199427366,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,,,CFMT/Test/noise_21.jpeg,21,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,2,0.6567871659935918,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,,,CFMT/Test/noise_22.jpeg,22,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,1,0.1682474590052152,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,,,CFMT/Test/noise_23.jpeg,23,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,2,0.23055629199370742,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,,,CFMT/Test/noise_24.jpeg,24,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,3,0.27355104200250935,,,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.6842962079972494,P000,2024-05-04_17h22.25.815,CFMT_Inverted,2022.2.3,None,
