prac,Face,Mem1,Mem2,Mem3,Test1,Test2,Test3,facenum,novel,nov_num,noise,nois_num,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Part1_Learn.thisRepN,Part1_Learn.thisTrialN,Part1_Learn.thisN,Part1_Learn.thisIndex,novel_test.thisRepN,novel_test.thisTrialN,novel_test.thisN,novel_test.thisIndex,noise_test.thisRepN,noise_test.thisTrialN,noise_test.thisN,noise_test.thisIndex,Response.keys,Response.rt,Answer.keys,Answer.rt,Answer_2.keys,Answer_2.rt,Answer_3.keys,Answer_3.rt,Answer_4.keys,Answer_4.rt,image.started,image.stopped,Answer_5.keys,Answer_5.rt,participant,date,expName,psychopyVersion,frameRate,
CFMT/Practice/A.jpeg,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,2.049421749994508,,,,,,,,,,,,,P000,2024-05-04_17h15.57.727,CFMT_Upright,2022.2.3,None,
CFMT/Practice/B.jpeg,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,2,0.7238628329942003,,,,,,,,,,,,,P000,2024-05-04_17h15.57.727,CFMT_Upright,2022.2.3,None,
CFMT/Practice/C.jpeg,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,2,0.6466358750039944,,,,,,,,,,,,,P000,2024-05-04_17h15.57.727,CFMT_Upright,2022.2.3,None,
,Face 1,CFMT/Learn/mem_1.jpeg,CFMT/Learn/mem_2.jpeg,CFMT/Learn/mem_3.jpeg,CFMT/Learn/test_1.jpeg,CFMT/Learn/test_2.jpeg,CFMT/Learn/test_3.jpeg,1,,,,,,,,,0,0,0,0,,,,,,,,,,,2,4.8834557079972,3,1.9044250000006286,3,1.8293260420032311,,,,,,,P000,2024-05-04_17h15.57.727,CFMT_Upright,2022.2.3,None,
,Face 2,CFMT/Learn/mem_4.jpeg,CFMT/Learn/mem_5.jpeg,CFMT/Learn/mem_6.jpeg,CFMT/Learn/test_4.jpeg,CFMT/Learn/test_5.jpeg,CFMT/Learn/test_6.jpeg,2,,,,,,,,,0,1,1,1,,,,,,,,,,,2,1.857123917012359,3,1.8052022910123924,3,1.415673291994608,,,,,,,P000,2024-05-04_17h15.57.727,CFMT_Upright,2022.2.3,None,
,Face 3,CFMT/Learn/mem_7.jpeg,CFMT/Learn/mem_8.jpeg,CFMT/Learn/mem_9.jpeg,CFMT/Learn/test_7.jpeg,CFMT/Learn/test_8.jpeg,CFMT/Learn/test_9.jpeg,3,,,,,,,,,0,2,2,2,,,,,,,,,,,3,2.0968665830005193,3,1.1803508330049226,1,1.4293336669943528,,,,,,,P000,2024-05-04_17h15.57.727,CFMT_Upright,2022.2.3,None,
,Face 4,CFMT/Learn/mem_10.jpeg,CFMT/Learn/mem_11.jpeg,CFMT/Learn/mem_12.jpeg,CFMT/Learn/test_10.jpeg,CFMT/Learn/test_11.jpeg,CFMT/Learn/test_12.jpeg,4,,,,,,,,,0,3,3,3,,,,,,,,,,,2,3.3999097909982083,3,2.3780953340028645,1,1.9293649589963024,,,,,,,P000,2024-05-04_17h15.57.727,CFMT_Upright,2022.2.3,None,
,Face 5,CFMT/Learn/mem_13.jpeg,CFMT/Learn/mem_14.jpeg,CFMT/Learn/mem_15.jpeg,CFMT/Learn/test_13.jpeg,CFMT/Learn/test_14.jpeg,CFMT/Learn/test_15.jpeg,5,,,,,,,,,0,4,4,4,,,,,,,,,,,3,1.8599976249970496,1,1.6425517089955974,3,1.193300041006296,,,,,,,P000,2024-05-04_17h15.57.727,CFMT_Upright,2022.2.3,None,
,Face 6 ,CFMT/Learn/mem_16.jpeg,CFMT/Learn/mem_17.jpeg,CFMT/Learn/mem_18.jpeg,CFMT/Learn/test_16.jpeg,CFMT/Learn/test_17.jpeg,CFMT/Learn/test_18.jpeg,6,,,,,,,,,0,5,5,5,,,,,,,,,,,1,1.425616375010577,3,1.1218314169964287,1,1.2840676670020912,,,,,,,P000,2024-05-04_17h15.57.727,CFMT_Upright,2022.2.3,None,
,,,,,,,,,CFMT/Test/novel_1.jpeg,1,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,2.4072707089944743,,,,,P000,2024-05-04_17h15.57.727,CFMT_Upright,2022.2.3,None,
