img,topleft,topright,bottomleft,bottomright,pnum,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,text_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,participant,date,expName,psychopyVersion,frameRate,
RMIE/A.png,jealous,panicked,arrogant,hateful,0,0,0,0,0,1,1.2010000419977587,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
RMIE/1.png,playful,comforting,irritated,bored,1,0,1,1,1,2,0.613393375009764,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
RMIE/2.png,terrified,upset,arrogant,annoyed,2,0,2,2,2,4,0.2620537090115249,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
RMIE/3.png,joking,flustered,desire,convinced,3,0,3,3,3,3,0.18723491599666886,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
RMIE/4.png,joking,insisting,amused,relaxed,4,0,4,4,4,1,0.17286020900064614,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
RMIE/5.png,irritated,sarcastic,worried,friendly,5,0,5,5,5,2,0.18588470900431275,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
RMIE/6.png,aghast,fantasizing,impatient,alarmed,6,0,6,6,6,3,0.16912795799726155,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
RMIE/7.png,apologetic,friendly,uneasy,dispirited,7,0,7,7,7,4,0.13475054199807346,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
RMIE/8.png,despondent,relieved,shy,excited,8,0,8,8,8,3,0.17669554200256243,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
RMIE/9.png,annoyed,hostile,horrified,preoccupied,9,0,9,9,9,2,0.14476420800201595,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
RMIE/10.png,cautious,insisting,bored,aghast,10,0,10,10,10,1,0.17564170800324064,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
RMIE/11.png,terrified,amused,regretful,flirtatious,11,0,11,11,11,2,0.1528459999972256,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
RMIE/12.png,indifferent,embarrassed,skeptical,dispirited,12,0,12,12,12,3,0.12840620800852776,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
RMIE/13.png,decisive,anticipating,threatening,shy,13,0,13,13,13,4,0.16997695800091606,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
RMIE/14.png,irritated,disappointed,depressed,accusing,14,0,14,14,14,4,0.29064083300181665,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
RMIE/15.png,contemplative,flustered,encouraging,amused,15,0,15,15,15,4,0.15590004200930707,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
RMIE/16.png,irritated,thoughtful,encouraging,sympathetic,16,0,16,16,16,3,0.14253504099906422,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
RMIE/17.png,doubtful,affectionate,playful,aghast,17,0,17,17,17,2,0.13440645800437778,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
RMIE/18.png,decisive,amused,aghast,bored,18,0,18,18,18,1,0.21984941700065974,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
RMIE/19.png,arrogant,grateful,sarcastic,tentative,19,0,19,19,19,2,0.20423658299841918,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
RMIE/20.png,dominant,friendly,guilty,horrified,20,0,20,20,20,3,0.16740891699737404,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
RMIE/21.png,embarrassed,fantasizing,confused,panicked,21,0,21,21,21,3,0.1908908750046976,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
RMIE/22.png,preoccupied,grateful,insisting,imploring,22,0,22,22,22,2,0.2151447500073118,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
RMIE/23.png,contented,apologetic,defiant,curious,23,0,23,23,23,1,0.26161545800277963,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
RMIE/24.png,pensive,irritated,excited,hostile,24,0,24,24,24,2,0.2643450839968864,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
RMIE/25.png,panicked,incredulous,despondent,interested,25,0,25,25,25,3,0.16573608299950138,,,,,P000,2024-05-04_17h21.19.144,RMIE,2022.2.3,None,
